Bin_32_5,Acidobacteriota
Bin_32_7,Acidobacteriota
Bin_68_3,Acidobacteriota
Bin_9_16,Acidobacteriota
Bin_72_3,Alphaproteobacteria
Bin_21_5,Alphaproteobacteria
Bin_12_2,Alphaproteobacteria
Bin_23_5,Alphaproteobacteria
Bin_70_3,Alphaproteobacteria
Bin_58_2,Alphaproteobacteria
Bin_17_12,Alphaproteobacteria
Bin_58_4,Alphaproteobacteria
Bin_58_8,Alphaproteobacteria
Bin_70_8,Alphaproteobacteria
Bin_18_2_2,Alphaproteobacteria
Bin_30_7,Alphaproteobacteria
Bin_10_1_1,Alphaproteobacteria
Bin_75_4,Alphaproteobacteria
Bin_21_4,Alphaproteobacteria
Bin_12_8,Alphaproteobacteria
Bin_49_2,Alphaproteobacteria
Bin_21_3_2,Alphaproteobacteria
Bin_21_3_1,Alphaproteobacteria
Bin_21_11,Alphaproteobacteria
Bin_21_12,Alphaproteobacteria
Bin_21_8,Alphaproteobacteria
Bin_31_7,Alphaproteobacteria
Bin_57_6,Alphaproteobacteria
Bin_7_14,Gammaproteobacteria
Bin_47_4,Gammaproteobacteria
Bin_43_3,Gammaproteobacteria
Bin_43_4,Gammaproteobacteria
Bin_11_7,Gammaproteobacteria
Bin_15_1,Gammaproteobacteria
Bin_15_11,Gammaproteobacteria
Bin_42_14,Gammaproteobacteria
Bin_27_2,Gammaproteobacteria
Bin_31_4,Gammaproteobacteria
Bin_33_15,Gammaproteobacteria
Bin_42_11,Gammaproteobacteria
Bin_29_3,Gammaproteobacteria
Bin_50_1,Gammaproteobacteria
Bin_50_4,Gammaproteobacteria
Bin_76_1,Gammaproteobacteria
Bin_7_3_2,Gammaproteobacteria
Bin_29_2,Gammaproteobacteria
Bin_58_5,Gammaproteobacteria
Bin_15_16,Gammaproteobacteria
Bin_58_9,Gammaproteobacteria
Bin_15_10,Gammaproteobacteria
Bin_29_9,Gammaproteobacteria
Bin_75_6,Gammaproteobacteria
Bin_27_11,Gammaproteobacteria
Bin_12_3,Gammaproteobacteria
Bin_44_4,Gammaproteobacteria
Bin_47_5,Gammaproteobacteria
Bin_80_8,Crenarchaeota
Bin_80_4,Crenarchaeota
Bin_80_9,Crenarchaeota
Bin_80_10,Crenarchaeota
Bin_37_2,Crenarchaeota
Bin_37_10,Crenarchaeota
Bin_37_6,Crenarchaeota
Bin_37_9,Crenarchaeota
Bin_54_9,Nanoarchaeota
Bin_54_7,Nanoarchaeota
