"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C"
"Bin_18_7",4.11520463605102,1.78167413053185,1.86253935394009,1.61232996614552,0.902376645142723,1.67440745936169,0.204739242858619,0.00476064117248389
"Bin_18_8",4.14146280243036,2.23539531610113,2.20619963084021,1.22364979947477,-0.00578843725982781,1.43011800563025,-0.147031352852066,0.323038943683317
"Bin_19_1",4.18442225167573,3.8408360095319,3.82750507210986,3.15155777233786,2.77225568508282,3.46237732597361,2.79131415300093,0.628107097082658
"Bin_19_3",3.64256449765281,3.28152737578952,3.12853565164856,2.1971070823599,1.43672403071991,2.97461957359293,1.85599619777878,0.197727956312358
"Bin_1_10",2.62901789625432,0.407440296001213,-0.360508221016731,3.10290813525651,3.23550032290755,2.1881809731136,2.40730362200559,4.0565054840939
"Bin_1_17",2.48045550540656,-0.388072738356406,-0.490664593420577,3.09216369009767,2.69679832487628,1.99237254420959,1.76491481008865,3.85137267007206
"Bin_1_8_1",2.54893450822878,-0.190226082843288,-0.369298905504913,3.48563689494492,3.69391181530976,2.69024935385701,2.39457017947449,4.13608262304214
"Bin_20_1",3.82734161806174,3.51347601266225,3.1927769371535,1.78304621851908,1.23482736778981,2.55437976392857,0.811404470824715,1.21753647748011
"Bin_20_9",3.91449179378064,3.43750015134173,3.36886785773068,1.92860570679265,0.772155483105246,2.83083273475007,1.18634149911926,1.50058300607614
"Bin_21_11",4.04479346245806,3.68322684731434,3.23923383613418,1.1071799800436,1.00043291632074,1.2760232082326,0.675471466198913,1.46970618923501
"Bin_21_12",3.94791426522933,3.61359200503829,3.26819776587933,1.81448572247674,1.19248038898243,2.13675282079947,0.67558910720979,1.66412609806338
"Bin_21_3_1",3.90652228045514,3.44835851550164,3.29923226806779,2.03231871396553,0.81986940327167,2.66721545441651,1.20637440616605,1.56716111319995
"Bin_21_3_2",4.18442225167573,3.76620207435373,3.65141478617915,2.12743649754805,0.793912488121788,2.73224905095543,1.07189481258085,1.63996368868002
"Bin_21_4",3.45376095524915,3.01153112174931,2.80373895475613,1.78420962774266,0.392005332958605,2.42955186807852,0.387196399218973,0.612305060838605
"Bin_21_5",3.8615551923472,3.12850120438318,3.0678378620667,1.40095271187369,0.544504406987854,1.71303686458118,0.888569018139891,0.831999455015311
"Bin_21_8",4.0670191780768,3.32895125915229,3.12314043234519,1.57288373421257,1.01663383077992,1.97391956924459,0.615361197796038,1.32205504044819
"Bin_22_1",4.28483264215154,4.00348832784582,3.65141478617915,2.25948691273441,0.6609064116927,3.1759464459922,0.927127103355907,0.93862563308524
"Bin_22_10",4.44249279809434,4.44249279809434,3.88549910435801,2.4424118415998,0.903362903468414,3.12355871694548,1.75606649130022,1.62628103307849
"Bin_22_14",4.86966623150499,4.64781748188864,4.03151705144607,2.06166764225638,0.835188922766642,2.52771172966024,1.52841400743477,2.13858024129012
"Bin_22_16",4.34582345812204,4.3045183235098,3.68920263934108,1.724373717615,0.776278850216269,1.01413078477167,1.34879215737277,1.68298171058324
"Bin_22_18",4.14146280243036,3.93101310301555,3.73059681072832,2.07913644653959,0.676942955257439,2.74170521232844,0.989327053854503,1.36349940598436
"Bin_22_3",4.80134291304558,4.34582345812204,4.33254704711005,2.30220165090358,1.14857395423971,2.88524627575741,0.903396203043911,1.4710903024561
"Bin_22_5",4.56703070912559,4.23210238398191,3.88549910435801,2.04108390300561,0.596235511547258,2.80876590747248,0.73698145417216,0.981968863682216
"Bin_22_6",4.44249279809434,4.39147396642281,3.99023475819092,2.85099562358266,1.39109245765192,3.21272376776296,0.992212804524733,1.20602634261342
"Bin_23_3",3.74925805597154,3.39174254185297,3.18036724057987,2.88763600493327,1.28405920762681,3.18343459196686,1.38919627734928,0.385560594475007
"Bin_23_5",3.68309702841071,3.39174254185297,3.16830295448245,2.62746375065253,1.61922219275512,2.86755555042724,1.84011586341299,0.461030018839716
"Bin_23_8",3.16116412712203,2.75939784090031,2.20361066290875,3.3693687559795,2.40629800719126,2.08501655882066,2.97298694790103,0.829517176435024
"Bin_24_3",3.84070658277726,3.50088639964844,3.27575117221826,1.00838114081186,0.265493081223197,2.28342384908189,1.43537462169802,0.8182826500915
"Bin_24_4",3.54997579740366,3.20297010473104,2.9785473088319,1.42942378883148,0.0205712571242535,2.63347226435889,1.17751856335186,1.19521781726856
"Bin_24_8",3.58242701091146,3.39174254185297,3.0678378620667,0.532520442410137,0.36995961218256,1.36624297587959,1.46925727369785,1.42308995828807
"Bin_25_1",4.0670191780768,3.74392479237628,3.48755709382614,0.492176202540651,1.5932289895367,0.574448344493287,2.02983222579715,2.63440120927455
"Bin_25_12",3.7835622537436,3.49472653674399,3.24629593763388,0.565622981550937,0.790026941857238,0.445257421649297,1.71749847325273,1.72737201096815
"Bin_25_3",3.75479095091313,3.35034975938998,3.35952750740163,-0.0980424628622868,0.766952013563657,-0.216066848088009,2.14578495698135,1.82455234983327
"Bin_25_4",3.67840364056717,3.30459275535336,3.04039963444293,0.0427884372888342,0.869863503903086,0.954298285986824,1.71109117926575,2.50385195503896
"Bin_25_6",3.82081027178359,3.48865282244925,3.18652776544774,0.377719080105972,1.63380493437464,0.984920912135763,3.07752574789315,3.51775402517698
"Bin_25_9",4.0670191780768,3.73320169058989,3.32405585179282,0.645268313354297,1.51000675029886,0.995411423829274,1.41021490351045,2.2225851408121
"Bin_26_1",3.9841291176201,3.82747004106317,3.63368539641849,1.22424690258769,1.64986252755717,-0.224547903466504,2.9648529454121,3.16209794776186
"Bin_26_14",4.24872089601666,4.26680273489343,3.80117802239679,2.28749163540651,2.43791219473934,0.191857959065243,3.52799434429648,3.94898647402745
"Bin_26_16",4.53313237964589,4.56863623584101,4.33254704711005,1.37107260283903,2.66850629895711,0.606252587054246,3.18136244781534,4.18177410638604
"Bin_26_3",4.74472749489669,4.39147396642281,4.07727454200674,1.18246108553084,2.94553594856148,-0.0634513377708243,3.7848226147903,4.20620961530918
"Bin_26_5",4.74472749489669,4.5003129173816,4.33254704711005,0.975391388539943,1.02879349079744,-0.0916683817979256,2.33467159229854,4.10457745396059
"Bin_27_11",3.86873430321997,3.58255654100774,3.29126305530539,0.795783256456117,2.91575949176336,-0.130440904092218,3.31714131701274,3.78362030321512
"Bin_27_2",3.05693603479977,3.71251627211787,3.61665148222798,2.00276345993884,1.69067880247002,-0.375438802995854,3.07587998444953,3.64444121261443
"Bin_28_1",3.99367517990047,3.62998125481627,3.41884141165866,0.821809065776941,1.1590975613773,0.957473881030188,1.15558280328335,2.08009006284917
"Bin_28_10",3.80178843076186,3.38694400007271,3.0678378620667,1.05371253777498,0.833497101303759,1.98334574803759,0.63957080502541,1.35961026151722
"Bin_28_13",3.63404801723832,3.25256333160256,2.9785473088319,1.79763133474528,0.991200128501498,1.74699533209872,0.418352610674598,2.10641898198733
"Bin_28_2",3.66461432056404,3.56783433608527,3.13953082635388,0.491080505332615,0.455622883966675,1.03119941350665,0.680356277556172,1.60870478966198
"Bin_28_3",3.7776529662788,3.46517207868975,3.32405585179282,1.06658853808322,0.291608057478997,1.74575291566766,0.199506208532997,0.90175395504304
"Bin_28_5",3.73840172365266,3.58255654100774,3.16830295448245,0.938555287012041,0.485331936543894,1.58393120732384,0.332917121837108,0.913505850711885
"Bin_28_7",3.72260626754173,3.46517207868975,3.26819776587933,1.02033029017154,1.04867806556309,1.82599691896951,0.436722604946087,0.936044173180156
"Bin_28_8",3.75479095091313,3.51347601266225,3.07258446447061,1.22418052209386,0.870201022732864,1.88572163522886,0.368991045446243,1.16470095816123
"Bin_28_9",3.76039524532748,3.49472653674399,3.0678378620667,1.17212297043035,1.18431165347838,1.44290025152744,0.554636227361471,1.55519137728899
"Bin_29_2",4.07883394936226,3.59779710073986,3.23228547843717,1.0431426880907,0.823697418346568,1.44960950798541,1.11402505469225,1.55322811949978
