"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C","bins","taxa"
"Bin_23_3",0.000178132,0.000405749,0.000660135,0.001295281,0.051992511,0.000655489,0.040813489,0.41156592,"Bin_23_3","Chloroflexota"
"Bin_23_5",0.000207445,0.000405749,0.00067873,0.002357959,0.02403133,0.001356577,0.014450542,0.345915467,"Bin_23_5","Alphaproteobacteria"
"Bin_23_8",0.000689979,0.001740212,0.006257334,0.0004272,0.003923756,0.008222113,0.001064175,0.148075369,"Bin_23_8","Gemmatimonadota"
"Bin_24_3",0.000144309,0.000315583,0.000529967,0.098088673,0.542633896,0.005206863,0.036696562,0.151955824,"Bin_24_3","Verrucomicrobiota"
"Bin_24_4",0.000281854,0.000626657,0.001050637,0.03720285,0.953737245,0.002325561,0.066447927,0.063794345,"Bin_24_4","Planctomycetota"
"Bin_24_8",0.000261561,0.000405749,0.000855386,0.293413139,0.426619191,0.043028581,0.033942414,0.037749399,"Bin_24_8","Verrucomicrobiota"
"Bin_25_1",8.57e-05,0.000180333,0.000325419,0.32197622,0.025513557,0.266410695,0.009336149,0.002320592,"Bin_25_1","Eisenbacteria"
"Bin_25_12",0.000164603,0.000320091,0.000567158,0.271879848,0.162170949,0.358709252,0.019164678,0.018733891,"Bin_25_12","Lindowbacteria"
"Bin_25_3",0.000175877,0.000446324,0.000436991,1.253263706,0.171020427,1.64462485,0.007148502,0.014977787,"Bin_25_3","Actinobacteriota"
"Bin_25_4",0.000209699,0.000495915,0.000911172,0.906173928,0.134938692,0.111096842,0.019449517,0.003134354,"Bin_25_4","Eisenbacteria"
"Bin_25_6",0.000151074,0.000324599,0.000650837,0.419064546,0.023237803,0.103533069,0.000836516,0.000303561,"Bin_25_6","Chloroflexota"
"Bin_25_9",8.57e-05,0.000184841,0.000474181,0.226324561,0.030902474,0.10106216,0.038885268,0.005989835,"Bin_25_9","Eisenbacteria"
"Bin_26_1",0.000103722,0.000148775,0.000232442,0.059669596,0.022394299,1.677057308,0.001084294,0.000688497,"Bin_26_1","Bacteroidota"
"Bin_26_14",5.64e-05,5.41e-05,0.00015806,0.005158321,0.003648277,0.64289795,0.000296487,0.000112464,"Bin_26_14","Bacteroidota"
"Bin_26_16",2.93e-05,2.7e-05,4.65e-05,0.042552727,0.002145328,0.24759816,0.000658624,6.58e-05,"Bin_26_16","Patescibacteria"
"Bin_26_3",1.8e-05,4.06e-05,8.37e-05,0.065695998,0.001133611,1.157314349,0.000164126,6.22e-05,"Bin_26_3","Patescibacteria"
"Bin_26_5",1.8e-05,3.16e-05,4.65e-05,0.105829955,0.093585057,1.23500405,0.004627308,7.86e-05,"Bin_26_5","Patescibacteria"
"Bin_27_11",0.00013529,0.000261483,0.000511372,0.160035652,0.001214061,1.350333071,0.000481791,0.000164581,"Bin_27_11","Gammaproteobacteria"
"Bin_27_2",0.00087713,0.000193858,0.00024174,0.009936571,0.020385492,2.373770908,0.000839692,0.000226756,"Bin_27_2","Gammaproteobacteria"
"Bin_28_1",0.000101467,0.000234433,0.000381205,0.150726958,0.069327005,0.110287456,0.069890347,0.008315913,"Bin_28_1","Eisenbacteria"
"Bin_28_10",0.000157838,0.000410257,0.000855386,0.088366461,0.146724588,0.010390926,0.229313274,0.043690774,"Bin_28_10","Eisenbacteria"
"Bin_28_13",0.000232248,0.000559032,0.001050637,0.015935609,0.102046913,0.017906251,0.38163429,0.007826742,"Bin_28_13","Actinobacteriota"
"Bin_28_2",0.000216464,0.000270499,0.000725219,0.322789571,0.350249171,0.093068044,0.208758286,0.024620406,"Bin_28_2","Eisenbacteria"
"Bin_28_3",0.000166858,0.000342632,0.000474181,0.085785021,0.510965929,0.01795755,0.631675149,0.125385133,"Bin_28_3","Gemmatimonadota"
"Bin_28_5",0.000182641,0.000261483,0.00067873,0.11519794,0.3270906,0.026065664,0.464603929,0.122037738,"Bin_28_5","Eisenbacteria"
"Bin_28_7",0.000189406,0.000342632,0.000539265,0.095426657,0.089396792,0.01492805,0.365828381,0.11586595,"Bin_28_7","Eisenbacteria"
"Bin_28_8",0.000175877,0.000306566,0.000846088,0.059678717,0.134833863,0.013010032,0.427571702,0.068438273,"Bin_28_8","Eisenbacteria"
